Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-05-12,3300.699951171875,3300.699951171875,3205.0,3220.0,886,0.0,0.0
2025-05-13,3232.0,3251.39990234375,3223.5,3240.300048828125,2424,0.0,0.0
2025-05-14,3233.0,3233.0,3171.699951171875,3181.39990234375,3518,0.0,0.0
2025-05-15,3151.0,3228.10009765625,3125.0,3220.699951171875,652,0.0,0.0
2025-05-16,3227.699951171875,3228.10009765625,3173.89990234375,3182.0,199,0.0,0.0
2025-05-19,3234.39990234375,3241.0,3228.300048828125,3228.89990234375,266,0.0,0.0
2025-05-20,3219.0,3293.199951171875,3207.5,3280.300048828125,356,0.0,0.0
2025-05-21,3293.39990234375,3317.5,3290.199951171875,3309.300048828125,979,0.0,0.0
2025-05-22,3327.300048828125,3328.0,3282.699951171875,3292.300048828125,1210,0.0,0.0
2025-05-23,3328.0,3363.60009765625,3323.5,3363.60009765625,47,0.0,0.0
2025-05-27,3332.5,3341.0,3296.300048828125,3299.10009765625,189,0.0,0.0
2025-05-28,3293.60009765625,3293.60009765625,3293.60009765625,3293.60009765625,127758,0.0,0.0
2025-05-29,3283.699951171875,3328.800048828125,3242.39990234375,3317.10009765625,24370,0.0,0.0
2025-05-30,3315.10009765625,3318.0,3270.89990234375,3288.89990234375,2213,0.0,0.0
2025-06-02,3296.89990234375,3380.800048828125,3296.89990234375,3370.60009765625,976,0.0,0.0
2025-06-03,3385.10009765625,3390.0,3331.300048828125,3350.199951171875,6410,0.0,0.0
2025-06-04,3355.0,3380.0,3344.0,3373.5,207,0.0,0.0
2025-06-05,3371.5,3400.0,3343.699951171875,3350.699951171875,731,0.0,0.0
2025-06-06,3364.300048828125,3364.300048828125,3306.0,3322.699951171875,81,0.0,0.0
2025-06-09,3315.60009765625,3334.60009765625,3290.0,3332.10009765625,1887,0.0,0.0
2025-06-10,3302.0,3344.300048828125,3302.0,3320.89990234375,65,0.0,0.0
2025-06-11,3328.0,3356.0,3321.300048828125,3321.300048828125,2106,0.0,0.0
2025-06-12,3363.0,3395.89990234375,3353.39990234375,3380.89990234375,1818,0.0,0.0
2025-06-13,3407.300048828125,3444.0,3407.300048828125,3431.199951171875,499,0.0,0.0
2025-06-16,3442.0,3442.0,3385.39990234375,3396.39990234375,480,0.0,0.0
2025-06-17,3398.300048828125,3398.300048828125,3376.10009765625,3386.60009765625,1477,0.0,0.0
2025-06-18,3385.300048828125,3391.89990234375,3365.10009765625,3389.800048828125,0,0.0,0.0
2025-06-20,3350.0,3372.89990234375,3341.0,3368.10009765625,709,0.0,0.0
2025-06-23,3365.89990234375,3387.89990234375,3350.0,3377.699951171875,30,0.0,0.0
2025-06-24,3358.0,3358.0,3301.0,3317.39990234375,538,0.0,0.0
2025-06-25,3321.60009765625,3331.199951171875,3310.60009765625,3327.10009765625,373,0.0,0.0
2025-06-26,3332.39990234375,3333.5,3332.39990234375,3333.5,2058,0.0,0.0
2025-06-27,3318.699951171875,3318.699951171875,3253.800048828125,3273.699951171875,284,0.0,0.0
2025-06-30,3265.89990234375,3306.89990234375,3262.0,3294.39990234375,1242,0.0,0.0
2025-07-01,3310.10009765625,3354.10009765625,3310.10009765625,3336.699951171875,371,0.0,0.0
2025-07-02,3329.0,3357.5,3329.0,3348.0,39,0.0,0.0
2025-07-03,3362.0,3362.0,3322.300048828125,3331.60009765625,0,0.0,0.0
2025-07-04,3342.0,3342.0,3332.5,3332.5,0,0.0,0.0
2025-07-07,3305.5,3333.300048828125,3299.199951171875,3332.199951171875,254,0.0,0.0
2025-07-08,3330.39990234375,3334.5,3287.60009765625,3307.0,909,0.0,0.0
2025-07-09,3289.39990234375,3314.0,3282.0,3311.60009765625,114,0.0,0.0
2025-07-10,3323.60009765625,3330.5,3311.60009765625,3317.39990234375,209,0.0,0.0
2025-07-11,3330.5,3370.0,3330.5,3356.0,776,0.0,0.0
2025-07-14,3367.0,3375.5,3350.0,3351.5,583,0.0,0.0
2025-07-15,3341.0,3341.0,3329.800048828125,3329.800048828125,210,0.0,0.0
2025-07-16,3341.199951171875,3352.89990234375,3329.5,3352.5,10,0.0,0.0
2025-07-17,3313.800048828125,3340.800048828125,3313.800048828125,3340.10009765625,667,0.0,0.0
